subject,n_records,distinct_addresses,timestamp_span,month,keep_message_id
Re: Friday Visit,2,1,0 days 12:00:00,2000-11,<25877409.1075857747471.JavaMail.evans@thyme>
Re: Can Fibre,2,1,0 days 12:00:00,2000-11,<9821951.1075857748320.JavaMail.evans@thyme>
Re: mid market comp,2,1,0 days 12:00:00,2000-11,<27548099.1075857747750.JavaMail.evans@thyme>
Re: FERC at Enron -- Dec. 7,2,1,0 days 12:00:00,2000-12,<7498275.1075857746711.JavaMail.evans@thyme>
Re: Interest-Rate Hedging Guides,2,1,0 days 12:00:00,2000-12,<10999600.1075845545267.JavaMail.evans@thyme>
Re: Paul Choi Contract,2,1,0 days 12:00:00,2000-12,<6872759.1075857774560.JavaMail.evans@thyme>
Re: Position Update,2,1,0 days 12:00:00,2000-12,<12342095.1075857745883.JavaMail.evans@thyme>
Re:,2,1,0 days 12:00:00,2001-01,<445196.1075845546257.JavaMail.evans@thyme>
(blank),2,1,0 days 12:00:00,2001-01,<26775201.1075845545852.JavaMail.evans@thyme>
Re:,2,1,0 days 12:00:00,2001-01,<29274790.1075845546301.JavaMail.evans@thyme>
Results of Q1 soft targets,3,1,0 days 10:00:00,2001-04,<13396912.1075858387316.JavaMail.evans@thyme>
Re:,2,2,0 days 04:59:55,2001-05,<3720044.1075857703740.JavaMail.evans@thyme>
Rogers,2,2,0 days 04:59:33,2001-05,<1154201.1075857677690.JavaMail.evans@thyme>
RE: Rogers,2,2,0 days 04:59:33,2001-05,<29190590.1075857677486.JavaMail.evans@thyme>
FW: LT Ercot Schedule C,2,2,0 days 00:00:00,2001-05,<14598811.1075857673321.JavaMail.evans@thyme>
Assoc./Analysts,2,2,0 days 04:59:09,2001-05,<13613320.1075857698570.JavaMail.evans@thyme>
(blank),2,2,0 days 00:00:00,2001-05,<7516613.1075857683147.JavaMail.evans@thyme>
(blank),3,2,0 days 04:59:04,2001-05,<27406257.1075845086933.JavaMail.evans@thyme>
(blank),2,2,0 days 04:59:59,2001-05,<26906709.1075857682427.JavaMail.evans@thyme>
(blank),2,2,0 days 04:59:45,2001-05,<21776618.1075857683301.JavaMail.evans@thyme>
(blank),2,2,0 days 04:59:40,2001-05,<28028319.1075857683227.JavaMail.evans@thyme>
Swerzbin Comp,2,2,0 days 04:59:21,2001-05,<19659661.1075857678362.JavaMail.evans@thyme>
(blank),3,2,0 days 04:59:13,2001-05,<8503072.1075857667129.JavaMail.evans@thyme>
(blank),3,2,0 days 04:59:52,2001-05,<14831894.1075845077023.JavaMail.evans@thyme>
Enron America's Staff Meeting,2,1,0 days 04:59:51,2001-05,<14976143.1075845303290.JavaMail.evans@thyme>
FW: Sean Crandall Departure,2,2,0 days 04:59:05,2001-06,<9593525.1075857677930.JavaMail.evans@thyme>
RE: FW: May position : sold !!!!!,2,2,0 days 00:00:00,2001-06,<16872975.1075857676590.JavaMail.evans@thyme>
RE: DRAFT PRESS RELEASE: Duke Acquires N,2,2,0 days 04:59:33,2001-06,<25330468.1075854842531.JavaMail.evans@thyme>
FW: 7/6/01 Exelon Meeting - Chicago,2,2,0 days 04:59:09,2001-07,<8766580.1075854843335.JavaMail.evans@thyme>
RE: Turbines,2,2,0 days 04:59:42,2001-07,<8780336.1075854843422.JavaMail.evans@thyme>
(blank),2,1,0 days 04:00:00,2001-11,<9671746.1075840842917.JavaMail.evans@thyme>
Tim Belden's New Cell Number,2,1,0 days 04:00:00,2001-12,<13263705.1075840834513.JavaMail.evans@thyme>
Tim Belden's Schedule,2,1,0 days 04:00:00,2001-12,<27019344.1075841341035.JavaMail.evans@thyme>
