year_month,person,degree_centrality,graph_nodes,graph_edges
2000-02,Skilling,0.0,2,1
2000-02,Lavorato,1.0,2,1
2000-02,Kitchen,0.0,2,1
2000-02,Presto,0.0,2,1
2000-02,Belden,1.0,2,1
2000-03,Skilling,0.0333,31,30
2000-03,Lavorato,0.0333,31,30
2000-03,Kitchen,1.0,31,30
2000-03,Presto,0.0,31,30
2000-03,Belden,0.0333,31,30
2000-04,Skilling,0.0,3,2
2000-04,Lavorato,1.0,3,2
2000-04,Kitchen,0.0,3,2
2000-04,Presto,0.5,3,2
2000-04,Belden,0.5,3,2
2000-05,Skilling,0.0,7,6
2000-05,Lavorato,1.0,7,6
2000-05,Kitchen,0.0,7,6
2000-05,Presto,0.1667,7,6
2000-05,Belden,0.1667,7,6
2000-06,Skilling,0.0,6,5
2000-06,Lavorato,1.0,6,5
2000-06,Kitchen,0.0,6,5
2000-06,Presto,0.2,6,5
2000-06,Belden,0.2,6,5
2000-07,Skilling,0.0,26,25
2000-07,Lavorato,1.0,26,25
2000-07,Kitchen,0.0,26,25
2000-07,Presto,0.04,26,25
2000-07,Belden,0.04,26,25
2000-08,Skilling,0.0,3,2
2000-08,Lavorato,1.0,3,2
2000-08,Kitchen,0.0,3,2
2000-08,Presto,0.5,3,2
2000-08,Belden,0.5,3,2
2000-09,Skilling,0.1667,7,6
2000-09,Lavorato,0.5,7,6
2000-09,Kitchen,0.0,7,6
2000-09,Presto,0.1667,7,6
2000-09,Belden,0.6667,7,6
2000-10,Skilling,0.0,9,8
2000-10,Lavorato,1.0,9,8
2000-10,Kitchen,0.0,9,8
2000-10,Presto,0.125,9,8
2000-10,Belden,0.125,9,8
2000-11,Skilling,0.0,27,26
2000-11,Lavorato,1.0,27,26
2000-11,Kitchen,0.0,27,26
2000-11,Presto,0.0385,27,26
2000-11,Belden,0.0385,27,26
2000-12,Skilling,0.0,8,7
2000-12,Lavorato,1.0,8,7
2000-12,Kitchen,0.0,8,7
2000-12,Presto,0.1429,8,7
2000-12,Belden,0.1429,8,7
2001-01,Skilling,0.0,3,2
2001-01,Lavorato,1.0,3,2
2001-01,Kitchen,0.0,3,2
2001-01,Presto,0.5,3,2
2001-01,Belden,0.5,3,2
2001-02,Skilling,0.0,4,2
2001-02,Lavorato,0.3333,4,2
2001-02,Kitchen,0.3333,4,2
2001-02,Presto,0.3333,4,2
2001-02,Belden,0.3333,4,2
2001-03,Skilling,0.0,27,28
2001-03,Lavorato,1.0,27,28
2001-03,Kitchen,0.1154,27,28
2001-03,Presto,0.0769,27,28
2001-03,Belden,0.0769,27,28
2001-04,Skilling,0.0,53,62
2001-04,Lavorato,0.2692,53,62
2001-04,Kitchen,0.5577,53,62
2001-04,Presto,0.0769,53,62
2001-04,Belden,0.3846,53,62
2001-05,Skilling,0.0,164,201
2001-05,Lavorato,0.9448,164,201
2001-05,Kitchen,0.1595,164,201
2001-05,Presto,0.0184,164,201
2001-05,Belden,0.1411,164,201
2001-06,Skilling,0.0,6,7
2001-06,Lavorato,0.4,6,7
2001-06,Kitchen,0.4,6,7
2001-06,Presto,0.8,6,7
2001-06,Belden,0.8,6,7
2001-07,Skilling,0.0,71,74
2001-07,Lavorato,0.0286,71,74
2001-07,Kitchen,0.9286,71,74
2001-07,Presto,0.0429,71,74
2001-07,Belden,0.1286,71,74
2001-08,Skilling,0.9419,87,87
2001-08,Lavorato,0.0233,87,87
2001-08,Kitchen,0.0233,87,87
2001-08,Presto,0.0349,87,87
2001-08,Belden,0.0465,87,87
2001-09,Skilling,0.0,55,54
2001-09,Lavorato,0.0185,55,54
2001-09,Kitchen,0.9815,55,54
2001-09,Presto,0.037,55,54
2001-09,Belden,0.0185,55,54
2001-10,Skilling,0.0,10,11
2001-10,Lavorato,0.3333,10,11
2001-10,Kitchen,1.0,10,11
2001-10,Presto,0.2222,10,11
2001-10,Belden,0.2222,10,11
2001-11,Skilling,0.0,54,56
2001-11,Lavorato,0.0377,54,56
2001-11,Kitchen,0.7547,54,56
2001-11,Presto,0.0566,54,56
2001-11,Belden,0.3019,54,56
2001-12,Skilling,0.0,97,104
2001-12,Lavorato,0.0104,97,104
2001-12,Kitchen,0.75,97,104
2001-12,Presto,0.0208,97,104
2001-12,Belden,0.3438,97,104
