year_month,mean_compound,median_compound,std_compound,min_compound,n_emails,n_negative,pct_negative
2000-02,0.4404,0.4404,,0.4404,1,0,0.0
2000-03,0.9516,0.9516,,0.9516,1,0,0.0
2000-04,0.4404,0.4404,0.0,0.4404,2,0,0.0
2000-05,0.3948,0.4653,0.3019,0.0,4,0,0.0
2000-06,0.21,0.0,0.4201,0.0,4,0,0.0
2000-07,0.4521,0.3818,0.5262,-0.539,7,1,14.3
2000-08,0.1761,0.1012,0.5255,-0.5574,6,2,33.3
2000-09,0.5674,0.6249,0.3988,0.0,7,0,0.0
2000-10,0.3368,0.6249,0.6861,-0.8975,9,2,22.2
2000-11,0.1494,0.1012,0.3172,-0.197,10,2,20.0
2000-12,0.2683,0.25,0.2816,0.0,23,0,0.0
2001-01,-0.0084,0.0,0.1787,-0.3935,9,1,11.1
2001-02,0.2235,0.2902,0.6959,-0.9857,6,1,16.7
2001-03,0.5899,0.7089,0.468,-0.895,21,1,4.8
2001-04,0.3139,0.368,0.4474,-0.8742,26,5,19.2
2001-05,0.5385,0.6352,0.3606,-0.1447,52,1,1.9
2001-06,0.9139,0.9137,0.0732,0.7579,16,0,0.0
2001-07,0.5719,0.7644,0.4964,-0.9463,19,1,5.3
2001-08,0.4001,0.6553,0.5888,-0.5067,11,3,27.3
2001-09,0.8615,0.928,0.2076,0.3645,8,0,0.0
2001-10,0.594,0.8914,0.5763,-0.9007,16,2,12.5
2001-11,0.472,0.8176,0.6612,-0.9092,19,4,21.1
2001-12,0.4836,0.8547,0.5899,-0.4215,10,2,20.0
