year_month,mean_compound,median_compound,std_compound,min_compound,n_emails,n_negative,pct_negative
2000-02,0.4404,0.4404,,0.4404,1,0,0.0
2000-03,0.9516,0.9516,,0.9516,1,0,0.0
2000-04,0.4404,0.4404,0.0,0.4404,2,0,0.0
2000-05,0.3948,0.4653,0.3019,0.0,4,0,0.0
2000-06,0.21,0.0,0.4201,0.0,4,0,0.0
2000-07,0.4521,0.3818,0.5262,-0.539,7,1,14.3
2000-08,0.1761,0.1012,0.5255,-0.5574,6,2,33.3
2000-09,0.5674,0.6249,0.3988,0.0,7,0,0.0
2000-10,0.3368,0.6249,0.6861,-0.8975,9,2,22.2
2000-11,0.1422,0.0,0.3783,-0.197,7,2,28.6
2000-12,0.2816,0.25,0.2938,0.0,19,0,0.0
2001-01,-0.0126,0.0,0.2259,-0.3935,6,1,16.7
2001-02,0.2235,0.2902,0.6959,-0.9857,6,1,16.7
2001-03,0.5899,0.7089,0.468,-0.895,21,1,4.8
2001-04,0.3117,0.368,0.4564,-0.8742,25,5,20.0
2001-05,0.5425,0.636,0.3621,-0.1447,34,1,2.9
2001-06,0.917,0.9148,0.0784,0.7579,13,0,0.0
2001-07,0.5654,0.7644,0.5213,-0.9463,17,1,5.9
2001-08,0.4001,0.6553,0.5888,-0.5067,11,3,27.3
2001-09,0.8615,0.928,0.2076,0.3645,8,0,0.0
2001-10,0.594,0.8914,0.5763,-0.9007,16,2,12.5
2001-11,0.5194,0.8348,0.6463,-0.9092,18,3,16.7
2001-12,0.6475,0.8895,0.5254,-0.4215,8,1,12.5
