month,boundary_mean_centrality,mean_compound,n_emails,ground_truth_label,z_centrality,z_sentiment,composite_index
1999-01,,,0,0,,,
1999-02,,,0,0,,,
1999-03,,,0,0,,,
1999-04,,,0,0,,,
1999-05,,,0,0,,,
1999-06,,,0,0,,,
1999-07,,,0,0,,,
1999-08,,,0,0,,,
1999-09,,,0,0,,,
1999-10,,,0,0,,,
1999-11,,,0,0,,,
1999-12,,,0,0,,,
2000-01,,,0,0,,,
2000-02,0.4,0.4404,1,0,1.623255976486611,0.9004677201463698,1.2618618483164905
2000-03,0.21998,0.9516,1,0,-0.9685082862645135,3.8239536328197294,1.427722673277608
2000-04,0.4,0.4404,2,0,1.623255976486611,0.9004677201463698,1.2618618483164905
2000-05,0.26668,0.3948,4,0,-0.29616415188790307,0.639687286621516,0.17176156736680645
2000-06,0.2799999999999999,0.21,4,0,-0.10439490413851506,-0.417159733452891,-0.26077731879570304
2000-07,0.216,0.4521,7,0,-1.0258087071385802,0.9673784892744572,-0.029215108932061473
2000-08,0.4,0.1761,6,0,1.623255976486611,-0.611029397849657,0.506113289318477
2000-09,0.30002,0.5674,7,0,0.18383485111244455,1.6267641029897122,0.9052994770510784
2000-10,0.25,0.3368,9,0,-0.536307624294795,0.30799287555920213,-0.11415737436779641
2000-11,0.2153999999999999,0.1494,10,0,-1.0344469615417073,-0.7637232043214465,-0.8990850829315769
2000-12,0.25716,0.2683,23,0,-0.4332244550841625,-0.0837496616437031,-0.2584870583639328
2001-01,0.4,-0.0084,9,0,1.623255976486611,-1.6661607571771901,-0.021452390345289563
2001-02,0.26664,0.2235,6,1,-0.2967400355147779,-0.3399549998435592,-0.3183475176791686
2001-03,0.2538399999999999,0.5899,21,1,-0.48102279611479243,1.7554386590052649,0.6372079314452362
2001-04,0.25768,0.3139,26,0,-0.4257379679347867,0.17703077188115074,-0.12435359802681797
2001-05,0.25276,0.5385,52,0,-0.4965716540404173,1.4614887843741797,0.48245856516688124
2001-06,0.4800000000000001,0.9139,16,0,2.775023230236695,3.6083522656292257,3.1916877479329604
2001-07,0.2257399999999999,0.5719,19,0,-0.8855810439945089,1.6524990141928226,0.3834589850991569
2001-08,0.21398,0.4001,11,1,-1.0548908302957698,0.6699972931496241,-0.19244676857307286
2001-09,0.2110999999999999,0.8615,8,1,-1.0963544514307744,3.3086835218418935,1.1061645352055596
2001-10,0.3555399999999999,0.594,16,1,0.9831613252150008,1.7788860225458767,1.3810236738804387
2001-11,0.23018,0.472,19,1,-0.821657961411378,1.0811839854837682,0.12976301203619506
2001-12,0.2249999999999999,0.4836,10,0,-0.8962348910916974,1.147522867696231,0.1256439883022668
