month,boundary_mean_centrality,mean_compound,n_emails,ground_truth_label,z_centrality,z_sentiment,composite_index
1999-01,,,0,0,,,
1999-02,,,0,0,,,
1999-03,,,0,0,,,
1999-04,,,0,0,,,
1999-05,,,0,0,,,
1999-06,,,0,0,,,
1999-07,,,0,0,,,
1999-08,,,0,0,,,
1999-09,,,0,0,,,
1999-10,,,0,0,,,
1999-11,,,0,0,,,
1999-12,,,0,0,,,
2000-01,,,0,0,,,
2000-02,0.4,0.4404,1,0,1.6232559764866106,0.8915901605801988,1.2574230685334047
2000-03,0.21998000000000006,0.9516,1,0,-0.9685082862645137,3.790140196474332,1.410815955104909
2000-04,0.4,0.4404,2,0,1.6232559764866106,0.8915901605801988,1.2574230685334047
2000-05,0.26668000000000003,0.3948,4,0,-0.2961641518879031,0.6330340540919895,0.1684349511020432
2000-06,0.27999999999999997,0.21,4,0,-0.10439490413851508,-0.41479858799180525,-0.25959674606516014
2000-07,0.21600000000000003,0.4521,7,0,-1.0258087071385809,0.9579302142186208,-0.03393924645998003
2000-08,0.4,0.1761,6,0,1.6232559764866106,-0.6070146408415922,0.5081206678225092
2000-09,0.30002000000000006,0.5674,7,0,0.18383485111244457,1.6116915975100794,0.897763224311262
2000-10,0.25,0.3368,9,0,-0.5363076242947958,0.3041688309271621,-0.11606939668381686
2000-11,0.21539999999999998,0.1422,7,0,-1.0344469615417071,-0.7992306936913793,-0.9168388276165432
2000-12,0.25716,0.2816,19,0,-0.4332244550841634,-0.008820140084880296,-0.22102229758452185
2001-01,0.4,-0.0126,6,0,1.6232559764866106,-1.6769606341381944,-0.026852328825791916
2001-02,0.26664,0.2235,6,1,-0.29674003551477873,-0.33825237225516436,-0.3174962038849716
2001-03,0.25383999999999995,0.5899,21,1,-0.48102279611479254,1.7392686237378139,0.6291229138115106
2001-04,0.2625,0.3117,25,0,-0.3563439908963452,0.16184957055755575,-0.09724721016939473
2001-05,0.22643999999999997,0.5425,34,0,-0.8755030805241958,1.4705063551513862,0.2975016373135952
2001-06,0.4800000000000001,0.917,13,0,2.7750232302366946,3.593955080586349,3.184489155411522
2001-07,0.22573999999999997,0.5654,17,0,-0.8855810439945091,1.6003514174009474,0.35738518670321917
2001-08,0.21398,0.4001,11,1,-1.0548908302957707,0.6630855313811894,-0.19590264945729063
2001-09,0.21109999999999998,0.8615,8,1,-1.0963544514307741,3.2792650825579375,1.0914553155635818
2001-10,0.35553999999999997,0.594,16,1,0.9831613252150009,1.7625159929615344,1.3728386590882677
2001-11,0.23018,0.5194,18,1,-0.821657961411379,1.3395272748909117,0.25893465673976634
2001-12,0.22499999999999995,0.6475,8,0,-0.8962348910916976,2.065865810880815,0.5848154598945587
