month,boundary_mean_centrality,mean_compound,n_emails,ground_truth_label
1999-01,,,0,0
1999-02,,,0,0
1999-03,,,0,0
1999-04,,,0,0
1999-05,,,0,0
1999-06,,,0,0
1999-07,,,0,0
1999-08,,,0,0
1999-09,,,0,0
1999-10,,,0,0
1999-11,,,0,0
1999-12,,,0,0
2000-01,,,0,0
2000-02,0.4,0.4404,1,0
2000-03,0.21998000000000006,0.9516,1,0
2000-04,0.4,0.4404,2,0
2000-05,0.26668000000000003,0.3948,4,0
2000-06,0.27999999999999997,0.21,4,0
2000-07,0.21600000000000003,0.4521,7,0
2000-08,0.4,0.1761,6,0
2000-09,0.30002000000000006,0.5674,7,0
2000-10,0.25,0.3368,9,0
2000-11,0.21539999999999998,0.1494,10,0
2000-12,0.25716,0.2683,23,0
2001-01,0.4,-0.0084,9,0
2001-02,0.26664,0.2235,6,1
2001-03,0.25383999999999995,0.5899,21,1
2001-04,0.25768,0.3139,26,0
2001-05,0.25276,0.5385,52,0
2001-06,0.4800000000000001,0.9139,16,0
2001-07,0.22573999999999997,0.5719,19,0
2001-08,0.21398,0.4001,11,1
2001-09,0.21109999999999998,0.8615,8,1
2001-10,0.35553999999999997,0.594,16,1
2001-11,0.23018,0.472,19,1
2001-12,0.22499999999999995,0.4836,10,0
